row_id,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack_name,difficulty,category,novel_attack
8342,0,tcp,other,SF,240,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,1.00,0.00,0.00,66,11,0.17,0.08,0.02,0.00,0.00,0.00,0.11,0.64,httptunnel,6,u2r,1
11059,0,icmp,eco_i,SF,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2,148,1.00,0.00,1.00,0.26,0.00,0.00,0.00,0.00,saint,15,probe,1
11469,0,tcp,http,SF,305,33229,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0.00,0.00,0.00,0.00,1.00,0.00,0.75,2,255,1.00,0.00,0.50,0.05,0.00,0.00,0.00,0.00,normal,21,normal,0
7700,0,tcp,http,SF,261,791,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,1.00,0.00,0.00,32,255,1.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00,normal,21,normal,0
22213,0,tcp,http,SF,228,3200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,47,0.00,0.00,0.00,0.00,1.00,0.00,0.06,255,255,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,normal,21,normal,0
10572,0,udp,domain_u,SF,45,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,1.00,0.00,1.00,255,247,0.97,0.01,0.01,0.00,0.00,0.00,0.00,0.00,normal,21,normal,0
12090,0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,447,0.00,0.00,0.00,0.00,1.00,0.00,0.00,255,255,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,smurf,18,dos,0
1556,0,tcp,sunrpc,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,5,1.00,1.00,0.00,0.00,0.03,0.11,0.00,255,5,0.02,0.09,0.00,0.00,1.00,1.00,0.00,0.00,neptune,20,dos,0
10006,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,20,0.00,0.00,1.00,1.00,0.07,0.06,0.00,255,20,0.08,0.06,0.00,0.00,0.00,0.00,1.00,1.00,neptune,21,dos,0
358,0,udp,private,SF,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.00,0.00,0.00,0.00,1.00,0.00,0.00,255,255,1.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,normal,17,normal,0
3078,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,8,0.75,1.00,0.25,0.00,0.04,0.07,0.00,255,8,0.03,0.07,0.00,0.00,0.62,1.00,0.37,0.00,neptune,21,dos,0
22248,0,tcp,http,SF,293,3410,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,23,0.00,0.00,0.00,0.00,1.00,0.00,0.09,243,255,1.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,normal,21,normal,0
21668,0,udp,private,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,0.00,0.00,0.00,0.00,0.23,0.26,0.00,255,7,0.03,0.90,0.13,0.00,0.00,0.00,0.87,0.00,normal,3,normal,0
13007,0,udp,private,SF,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,1.00,0.00,0.00,255,255,1.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,snmpguess,15,r2l,1
11500,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,16,0.00,0.00,1.00,1.00,0.06,0.06,0.00,255,16,0.06,0.06,0.00,0.00,0.00,0.00,1.00,1.00,neptune,21,dos,0
